,Toma,Completion,Probability,Match,Tries
0,zipper,zipper.,0.94,True,4
1,jigsaw puzzle,jigsaw puzzle.,0.95,True,4
2,pair of sunglasses,pair of sunglasses.,0.89,True,4
3,canteen,canteen.,0.93,True,4
4,bottle of pills,bottle of pills.,0.88,True,4
5,beef,type of beef.,0.81,True,4
6,chalk,chalk.,0.89,True,4
7,speakers,speaker.,0.4,False,4
8,necktie,necktie.,0.95,True,4
9,marble,marble.,0.95,True,4
10,conditioner,type of hair conditioner.,0.7,True,4
11,stick,stick.,0.47,True,4
12,roll of gauze,roll of gauze.,0.6,True,4
13,bottle of honey,bottle of honey.,0.74,True,4
14,wedding ring,wedding ring.,0.94,True,4
15,food,type of food.,0.94,True,4
16,buckle,buckle.,0.71,True,4
17,bottle of paint,type of paint.,0.5,False,4
18,packet of seeds,type of seed.,0.79,False,4
19,speakers,speaker.,0.46,False,4
