,Toma,Completion,Probability,Match,Tries
0,trucks,toy truck.,0.46,False,1
1,eraser,type of eraser.,0.41,True,1
2,purse/bag,type of purse or bag.,0.43,False,1
3,washing machine,type of washing machine.,0.62,True,1
4,plush cat,plush toy.,0.89,False,1
5,crow,type of bird.,0.76,False,1
6,package of crisp and crunchy edibles,type of snack food.,0.89,False,1
7,small pouch,type of small pouch.,0.45,True,1
8,CD,type of music.,0.65,False,1
9,rat,type of rodent.,0.84,False,1
10,carton of ice cream,type of cheese.,0.89,False,1
11,necktie,type of necktie.,0.4,True,1
12,piece of sand paper,type of tool used for sanding wood.,0.73,False,1
13,credit card,type of credit card.,0.7,True,1
14,whale,type of fish.,0.89,False,1
15,grocery list,type of vegetable.,0.85,False,1
16,video games,video game.,0.58,False,1
17,container of pudding,type of pudding.,0.96,False,1
18,dagger,type of dagger.,0.76,True,1
19,chapter book,type of book.,0.56,False,1
20,blouse,blouse.,0.51,True,2
21,wrench,tool.,0.84,False,2
22,button,button.,0.72,True,2
23,baseball bat,baseball bat.,0.91,True,2
24,map,map.,0.7,True,2
25,boom box,type of music player.,0.45,False,2
26,blowdryer,"type of item that Ally was looking for, but it was not in the bucket",0.28,False,2
27,harmonica,musical instrument.,0.67,False,2
28,toy plane,toy plane.,1.0,True,2
29,lace,type of traditional Mexican toy.,0.42,False,2
30,street lights,street light.,0.75,False,2
31,whale,type of toy.,0.63,False,2
32,sandglass,sandglass.,0.97,True,2
33,mop,type of cleaning tool.,0.48,False,2
34,canteen,canteen.,0.91,True,2
35,monitor,computer monitor.,0.9,True,2
36,handheld game system,handheld game system.,0.96,True,2
37,coffee mug,coffee mug.,0.94,True,2
38,marble,marble.,0.94,True,2
39,laser pointer,laser pointer.,0.92,True,2
40,car,toy car.,0.93,True,3
41,apple,type of fruit.,0.91,False,3
42,whip,whip.,0.92,True,3
43,radio,radio.,0.91,True,3
44,snowglobe,snowglobe.,1.0,True,3
45,car,toy car.,0.95,True,3
46,box of markers,box of markers.,0.84,True,3
47,pair of scissors,type of scissors used for cutting fabric.,0.26,False,3
48,children's book,children's book.,0.89,True,3
49,bangle bracelet,bangle bracelet.,0.84,True,3
50,rusty nail,type of Spanish coin.,0.4,False,3
51,pen,pen.,0.89,True,3
52,thread,thread.,0.4,True,3
53,pair of sunglasses,pair of sunglasses.,0.86,True,3
54,spring,spring.,0.79,True,3
55,cat,cat.,0.38,True,3
56,wishbone,wishbone.,0.69,True,3
57,plush bear,plush bear.,0.71,True,3
58,tv,television.,0.83,False,3
59,class ring,class ring.,0.76,True,3
60,zipper,zipper.,0.94,True,4
61,jigsaw puzzle,jigsaw puzzle.,0.95,True,4
62,pair of sunglasses,pair of sunglasses.,0.89,True,4
63,canteen,canteen.,0.93,True,4
64,bottle of pills,bottle of pills.,0.88,True,4
65,beef,type of beef.,0.81,True,4
66,chalk,chalk.,0.89,True,4
67,speakers,speaker.,0.4,False,4
68,necktie,necktie.,0.95,True,4
69,marble,marble.,0.95,True,4
70,conditioner,type of hair conditioner.,0.7,True,4
71,stick,stick.,0.47,True,4
72,roll of gauze,roll of gauze.,0.6,True,4
73,bottle of honey,bottle of honey.,0.74,True,4
74,wedding ring,wedding ring.,0.94,True,4
75,food,type of food.,0.94,True,4
76,buckle,buckle.,0.71,True,4
77,bottle of paint,type of paint.,0.5,False,4
78,packet of seeds,type of seed.,0.79,False,4
79,speakers,speaker.,0.46,False,4
80,shoes,type of shoe.,0.48,False,5
81,beaded necklace,beaded necklace.,0.89,True,5
82,pinecone,pinecone.,0.62,True,5
83,computer,computer.,0.79,True,5
84,plush dinosaur,plush dinosaur.,0.93,True,5
85,bag of popcorn,type of food.,0.72,False,5
86,toy robot,toy robot.,0.99,True,5
87,lace,type of lace.,0.42,True,5
88,rabbit,rabbit.,0.71,True,5
89,harmonica,harmonica.,0.66,True,5
